Book-Author
Mark P. O. Morford
Richard Bruce Wright
Carlo D'Este
S. Conway Morris
John Lanzendorf
Tim Gardom
Thomas H. Rich
Sonja Brough
Stefano Marzano
Peter J. Whybrow
Bruce Bernard
Adam Yates
Qurratulain Haidar
Dennis C. Mynard
B.S. Johnson
Nina Filipek
Volker Lange
Robert Mash
Adrian Lister
Bryce Walker
Hermann Kinder
Robin McKie
John C. McLoughlin
Helen Roney Sattler
Barbara Puschmann-Nalenz
Tudge
David D. Gillette
Jamie L. Saloff
Taylor Tim
T. R. Adams
A. E Johann
Abnett
Jack Lynn
C. Clark
Marilyn Meberg
Sofianides
Wm. Laird Clowes
Jacques Poulin
Douglas Palmer
Elizabeth Engstrom
Garniss Curtis
Frederick K. Lutgens
Mark Girouard
David MacDonald
Frank Wedekind
Cecelia Fannon
Nicholas Rhea
Nick Woolsey
Julia Neuberger
Uwe-Michael Gutzschhahn
Frauke KÃ?Â¼hn
Linda McCartney
Mark Collier
Jason Henderson
Adele Crockett Robertson
David Southwell
Simon Crump
Antony Armstrong-Jones Snowdon
Kodansha International
Rif K. Haffar
Gareth Owen
Benjamin Cheever
Linda Kempton
Sama Alexander
Bob Sloan
Dick Thompson
Robert Le Gall
Gunter Wallraff
Robert Scholes
Rolling Stone
John Kinross
Erling Haagensen
Rousseau
Pierre De Ronsard
Montaigne
Sigrun Casper
GURCHARAN DAS
Claude Martin
Emmanouel D. Rhoides
StÃ©phane MallarmÃ©
William Henry Hudson
Marie de France
Madeleine Borgomano
Alberto Blecua
Henri Murger
Fernando Assis Pacheco
Michael Willhoite
PemÃ³n Bouzas
Joaquin Sabina
Gianni Rodari
VladimÃ­r Raffel
Gary J. Fuller
Rene Steinke
Stuart Cohen
Zagat Survey
W. Johnson
Fred Gielow
D. Wesley Balderson
Harry Bowling
Maurizio Vitta
Antonio Mari
Mark A. Bryan
Tom Tyrrell
Francis Clifford
Peter Cross
Al Purdy
Dermot Healy
HÃ©lÃ¨ne Gagnon
Cathy Vasas-Brown
Mary Ann Koenig
Sei Shonagon
Rita Reed
Del LaGrace Volcano
Joyce Luck
Olga Broumas
Doug Colligan
Helen Sandler
B. Wongar
R. J. Stevens
Paul Joyce
Virginia Smith
Nicky Gumbel
B. McLaren
Noah Lukas
Kevin Perrotta
Yusef Komunyakaa
Jack Barnao
Nancy Hendrickson
Stewart Bronfeld
Henry Williamson
Brenda L. Segal
Katherine Martin
H. Hawthorne
Wordsworth
Sarah Murphy
Louis Terkel
Henry Drummond
Donald W. Morgan
Sian Miles
Luce Irigaray
John Faragher
Julie Roy Jeffrey
Elizabeth Margo
William A. Tidwell
Robert Hunt Rhodes
John Pidgeon
James Surowiecki (Editor)
Karl Donitz
L. A. Morse
Lloyd A. Hunter
Charles Whiting
Fforde Jasper
Duncan Aikman
Barbara G. S. Hagerty
Swanee Ballman
Sven Birkerts
Adobe Systems Inc
Inc. Adobe Systems
Alan Francis
John L. Gallion
M. C. Escher
Jackie Summers
Michael Friedman
Lee Scofield
Ann Lynn
Barbara S. Held
Kerr
Julie K. Norem
Ayako Sono
Caroline Brooks
Taichi Yamada
Yumeno/Kyusaku
Catriona Flynt
Barbara Veit
Dorothy MacK
Helen A. Rosburg
Donald D. Ritchie
Leigh Bristol
Daniel Stolar
Paula Perez Alonso
Dermot Somers
Sarah Frommer
Hester Kaplan
R. M. Koster
Don Fontenelle
Jordan Deutsch
Elizabeth Karlsberg
Margaret Scariano
William E. Butterworth
Dawn Flindt
Harlyn Aizley
John Gilman
Luanne Walden
Sarah Hart
Susan Lynn Crose
Katherine Kilgore
Cherry Mosteshar
Kimberleigh Caitlin
R. Scott Hawley
William R. Clark
Sally Mandell
Lydia Lancaster
Daniel Graham
John Hackett
Jeff Knorr
Adele Q. Brown
Gordon Matthews
"David &amp; Hollaman, Keith Young"
Anna-Marie Ferguson
Kathryn Knox Soman
Marion Webb-De Sisto
Jonathan Williams
Gregor Former
Roger Daniels
Tucker
Casey Stuart
P. Gucker
Nancy Huddleston Packer
Cynthia Sinclair
Ron Padgett
Natasha Peters
Constance Pollock
Deann Patrick
Williams&amp;
William Butle Yeats
Man Ho Kwok
D. Howard Smith
Theresa Hak Kyung Cha
Susan Weldon
Bryce Milligan
Jo A. Wendt
John Hollander
Evelyn Sanders
Gloria Pedersen
David D Oxenford
Maynard MacK
Kelly Kindscher
Maynard Mack
Chantelle Bentley
Selina MacPherson
Noel Carroll
Jim Powell
Claudia Roth Pierpont
Russell Charles Leong
MICHAEL S. HARPER
Martha White
Watzlawi
M L Endicott
Judith French
Alain Pozzuoli
Flournoy
Jean Canavan
Rachel Davis
Nadine Crenshaw
Nita Abrams
Steven C. King
Dom Deluise
Bikram Choudhury
Philip Kaplan
Random House Value Publishing
Edina Ronay
Emily Luchetti
Marilyn Crockett
Sarah Schlesinger
Pavlina Eccless
Giuliano Hazan
Michael Krondl
L. Englisch
Michael Angerhausen
Michael F. Hordeski
Susan B. Sasser
Georgia Raye
Lina Sotis
Giampaolo Rugarli
Elizabeth Davis
A. Natow
Robin. Morgan
John Densmore
T.C. Sobey
Jordi Sierra I Fabra
S.H. Jacob
Ian Jackman
Medicine Grizzlybear Lake
Uta Ranke-Heinemann
Andy Bull
Burton Watson
Jose Maria Merino
Swami Muktananda Paramhamsa
Valerie Hobbs
Frances Burney
Peter Robert Lamont Brown
"Joe &amp; Reynolds, Bill Weider"
Joe Weider
John West Chalmers
"Thomas, Dr. Gordon"
Betty Berzon
Phil Cousineau
Francine
Pamela  Yatsko
Jim Mullen
Stella Dong
Jonathan Spence
Marc J. Rosenberg
Marco Paolini
Shen Fu
Orville Schell
Nicholas Comninellis
Jim Case
Ken Hartnett
Lee Grove
G. John Ikenberry
John P. Ferre
Janice Peck
Ivo Andric
Benjamin J. Hubbard
John Whitcomb
GREG KEYES
Robert Sims Reid
Junior League of Philadelphia
Henri Stendhal
Bonnie Toews
Martin Esslin
LIZ WILLIAMS
B. J. James
Thomas Powers
Kay Sloan
WIL MCCARTHY
Frances FitzGerald
Terry W. Glaspey
Brian Malloy
Hanson W. Baldwin
Annie Wang
Otis Carney
Carman
Jeanne McSweeney
Christian E. Hauer
Leonard Mosley
John Richards
Susan Taylor Chehak
William Hopkins Amos
Katherine Rowntree
Toby Marlowe
Oliver North
Jeannie Kim
Holly Kowitt
Bianca DÃ?Â¶ring
Sean McGrady
David Straker
Peter Duchin
Adrian Weale
Helen Schulman
Printing
KADIATOU DIALLO
Bruce Dawe
Manuel Mujica Lainez
Zoe Zimmerman
Joan E. Ericson
Applewood Books
Zoe Trope
Susanne Antonetta
Philip Lawson
Peter G.H. Evans
John Robert Gregg
Barbara Lee Follett
Aubrey Wallace
Fred  Setterberg
Amory B. Lovins
John Teal
Cathy Coote
Abbey
Jan Deblieu
Daniel A. Coleman
Daniel Sperling
Japrisot
Rachel Bush
Jean  Potter
Zane Loren Grey
Dexter Petley
Jack Aintry
Robert Pritikin
Brenda W. Clough
Mark E Petersen
Springhouse Publishing
Patricia O'Brien King
ADAM ROBINSON
Nancy E Hanson
Geo Gately
Michael Allan Cane
"Barbara Ann, Ph.D. Kipfer"
Marc Gave
Carroll Hofeling Morris
Blaine M. Yorpason
Carroll Hofeling. Morris
Mia Johnson
Lou Whittaker
Floyd McClung
Caio Fernando Abreu
David A Webb
SVEN BIRKERTS
Donna Otto
Ronald Herder
Chris Hicks
Allan K Burgess
Gordon B. Hinckley
Richard P Lindsay
John Rankine
Judith Hipskind
Nathan Jensen
Lynne Namka
Martin Huxley
Margaret Menendez
Michael Seidel
Margaret Dame Fonteyn
Stella Williams Nathan
Antonio Di Stefano
Kirsten Hall
Onofrio Pirrotta
Charles F. Price
Maryleah Otto
THOMAS CONKLIN
Rene Cailliet
Susan Page
John Mason
CHELLIS GLENDINNING
Mary Hessler
Theodor Herzl Gaster
Kathy Trevelyan
Kate Tym
H. Leroy Marlow
Ammaniti
Paul M. Zall
Gary  Heil
Jeffrey Gitomer
Clara Rosen
Danielle Thomas
Michael Mortenson
Nancy Mellon
FRIDJTOF NANSEN
ROBYN FREEDMAN SPIZMAN
Norma Gabler
JAMES C. HUMES
Sheilah B Bruce
"Elizabeth M, M.D. Gallup"
Paarvo Airola
Jennie Melville
Ben Davis
Elizabeth Rosner
Max A Ferm
Darlene Mathis
"Robert S., M.D. Eliot"
Abigale McDaniels
Evan Levine
Janet Oke
Mary Ann Fravel Norville
Tony Parker
SUSAN HOWATCH
Lee G Cantwell
Ursula Perrin
Fine Gardening
Mara L. Pratt
E F Benson
Alison Baines
Jaroldeen Edwards
William F. Powell
Chad Connelly
Georgia Day Robertson
Jill A. Rinner
Suzanne McNeill
Mark F. Parker
Ronald Welch
Shad Helmstetter
Kathleen E Woodiwiss
Carol Tuttle
A.J. Cronin
Workbench Magazine
James L. Garlow
Dorothy Ayers Counts
Atl. Bruecke
John Pukite
Robert Waldron
Richard Evelyn Byrd
Louise L Lambrichs
Janisse Ray
Jean-Jacques Schuhl
"William, Glasser"
Boris Akounine
Edith Summers Kelley
H Paul Jeffers
Emmanuel Kant
Claude Izner
Griffin
Harris Melvin
Jim Jubak
David Fiedler
Stephen Bourne
McClure Jones
Dianne Selditch
Dave Pedneau
Graham
Paul Hodge
Yvette Van Veen
Marsha Landreth
Joan Lewis
Gera-Lind Kalarik
William A. Corsaro
Frank McGillion
J. Randy Taraborelli
John Morley
Heather Henson
Stephen Tumim
Phil Swern
Stephen Gaghan
Miriam Decosta-Willis
Wendy Marston
Thomas P. Slaughter
Jesus Garcia
Arthur Applebee
Jenifer Corr Morse
David Knoles
Lucy Daniel
Holt Rinehart &amp; Winston
Kenneth Haugk
Gerald Factor
Pam Farrel
Leslie Lehr Spirson
Hamilton Hall
Bob Glover
Leah A. Crussell
Dalia Pagani
S. (Serge) Berland-DelÃ?Â©pine
Gontran de Poncins
Jane Wenham-Jones
Edward Hoch
Madame de La Fayette
Marivaux
Findling
Adam Cadre
Connelly
Jerry Ching
Thomas N. Scortia
Maggie Lyons
Susan Ross
John Leekley
Susan MacAulay
Andrew Hunt
Stephen R. Graves
Barbara Weltman
Tapper
George F. Hervey
Carol L.  McClelland
Cynthia A. Branigan
Jerry Willis
Ruth C. Butler
David McGimpsey
Barbara Tipton
Thom Boswell
Barbara Hemphill
Alfred P. Zeller
Holly Boswell
Kenneth C. Haugk
Richard H. O'Kane
Paola Rosati
Henry Hampton Halley
Richard M Ketchum
WHITNEY GASKELL
Karin Abarbanel
Richard Karn
John Greenwood
Fredrick Pohl
Thomas M. Siebel
Deb Gottesman
Jane Bluestein
Lacey Dancer
Matthew J. DeLuca
Eileen Charbonneau
John A. Gould
Nicholas Rowles
Sue Knight
Leo Bretholz
Nancy Hill Pettengill
J.T. Fraser
Gerd Gerken
Chao-Hsiu Chen
David Byrne
Craig Packer
Edward M Mair
"David A., Jr. Rich"
Brock Clarke
Sophia
Suzanne Kingsbury
Mark Acey
Rand Richards Cooper
Elisa Segrave
Mark Anthony Neal
MARY WELLS LAWRENCE
Barbara Croft
Ray Kybartas
Anthony Bozza
Daniel Da Cruz
Jenny Erpenbeck
JAY CANTOR
Mary Hickey
miniature quilts staff
Henry Collins
Christiane Meunier
Wendy Perriam
Carol Doak
Susan Winter Mills
Emilie V. Lepthein
Barbara Johannah
Maggie Malone
Kei Kobayashi
Judy Hooworth
Diana McClun
Judy Hopkins
Lynda S. Milligan
Ann Wasman
Gary Lineker
Herman Pieter de Boer
Lynn Hanna
Girl Scouts of America
Gil Roscoe
Robert E. Newcomb
Belle Sideman
Eyes on Adventure
Wil Wheaton
Angelika Feilhauer
Christine Balint
Ruth Thompson
Fernan Savater
Karen King
Diana Joseph
Wu Yu-Tang
Ted Nottingham
Beth Wagner Brust
Cosey
Lucy Baker
Jordi Mata
Raimon Esplugafreda
Anderson J.I.
Boy Scouts Of Americ
Cecilia Dinio-Durkin
Gene Dabney
S. P. Somtow
Pauline Dunn
Maureen Duffus
Deborah Hopkinson
Valerie Flournoy
Linda Drachman
Ann Whitford Paul
Nihon Vogue Staff
Anthony P. Witham
Barbara Methven
Earnie Larsen
Inc. General Mills
Ronald Thomas Kellogg
Laurice Pearson
Nancy Clark
William Buskist
Keyes
Phyllis L. Gillis
Eric P Kelly
Eric Suben
Morton T. Kelsey
Microwave Cooking Institute
Susan Rubin Suleiman
Ellen E.M. Roberts
Judith Cecere Striano
Ann W. Smith
Lee Wyndham
Barbara  Seuling
Kimbley Olson Fakih
Kazue Mizumura
Kevin McKinney
Ginny Reyes
Lessing
NANCY BURKE
R.de Sa Moreira
David R. Stiles
Lynda Cooper
Jona Jeffery
Maddie James
Susan Hardy
Nick Engler
John A. Nelson
Seneca
Louis R. Jr. Mizell
Nancy Fleming
Geoffrey T. Leblond
Namir Clement Shammas
Ricardo Birmele
S. Freud
Thomas Levenson
"Theodore Issac, Md. Rubin"
Elspeth C. Murphy
Nathan McCall
Hurnard
Ron Carlson
Mark J. Plotkin
Roberta Silman
Doreen Nagle
Gwynne L. Isaacs
John S. Dunne
Richard van Camp
Sandra Belton
Michael Krechiock
Katelan Janke
Margaret Edson
Ray Loriga
Tom Kuncl
David T. Courtwright
Lawrence Van der Plaat
Dennis Fairchild
Daniel Orowole Fagunwa
Felicity Bast
Angie Fenimore
Armstrong Williams
Kristin Nicholas
Lawrence Peter
Susan Fisher Sterling
H. W Janson
Matteson
Marcos Rey
Timothy Miller Ph.D.
Ken Russell
Geoffrey T LeBlond
Miriam Liskin
Herbert Scarfe
Jaume MaciÃ 
Penelope Lucas
MAKO YOSHIKAWA
Lisa &amp; Diane Berger
Philip Holden
Oldfield
"William H., Sr. Gates"
William McBrien
Lissa Hall Johnson
Michael Sky
Myers
Mick Fedullo
J.J. Goodrich
Emilia Di Girolamo
Jorge Ramos
Sourine
Lawhead
Maud Tabachnik
Goupil
Jacky Goupil
abbÃ?Â© PrÃ?Â©vost
FranÃ?Â§ois Place
PETER DAVID
JOHN VORNHOLT
Malraux
Henri Verneuil
Pierre Grimbert
Elisabeth Gille
Deforges Regine
Matthew Klam
Collette
Carson Mc Cullers
Karen Blixen
Boissard
Norris Houghton
Alain Layrac
Tyne O'Connell
Lorena-A Hickok
Roger Frison-Roche
Veikko Huovinen
Magda Gerber
Bridget Swinney
Philippe Vandel
Tolkien
G Williams
Robert Kalian
Bc Ministry of Health
Stephanie H. Dahl
Carolyn Schneider
C Pinkola-Estes
Margaret Tarner
Bernadette Lyra
Kim Hackney
"Kevin D., Ph.D. Huggins"
Saleem Ahmed
Charles Harper Webb
Marie Farrarella
Brendan Mullen
Peter Sotos
Steven Blush
Richard Smoley
Doug Henwood
Tomas Eloy Martinez
Daniel Billiet
A. Nicholas. Vardac
Edward L. Schor
Robert C. Gallo
Edward Tarabilda
Kim Neely
Dan Patrick
"Hellmut, Wilhelm"
Jeffrey Hopkins
Erwin Wagner
Antonio Dal Masetto
Brenda Davies
Sven BÃ?Â¶ttcher
Linda A. Lavid
Pilar Mateos
Richard DÃ?Â¼bell
Frank GÃ¶hre
Jennifer Barker Woolger
Dixie Elise Hickman
Susie Morgenstern
Diane Middlebrook
Laura Baugh
Lee J. Nelson
Lenore Hart
Jason Lutes
Andi Watson
MÃ¡rio Castrim
Lee J. Ames
Larrian Gillespie
Annette Wolter
Jack Young
Horst Bielfeld
Leni Fiedelmeier
Jaime J. Sucher
Nancy Searle
Bob Bennett
R. Cox
Robin Richmond
Marie Blake
Tzabar
Lesley Jane Nonkin
Kirsten A. Seaver
Eva Jantzen
Jack Todd
Pax Salam
Miguel Unamuno
Joy S. Catterson
Elisabeth Eide
David W. Chapman
Peggy Bialosky
David Toma
David Harp
Stephen Carpenter
Christine Schutt
Paul Griner
C. A. Nobens
Lois Smith Brady
Roselle Bentheim
Barnara Gregorich
Phil Vischer
Paul McGeough
Joyce Hopkirk
Justine Hardy
H.J. Lethbridge
Joseph Cremona
Debbie Whitmont
Jeanne M. Plas
Garry Kinnane
Kate Short
John Giorno
Lilly  Walters
College Entrance Examination Board.
Vincent Brome
Gene Sculatti
Jill Eisenstadt
Jerry;Sugerman Hopkins Danny
Frank Whitford
Rachel May
Lynn Bulock
Sharon Mignerey
Friedrich L Bauer
Vera F. Birkenbihl
Elliot D. Abravanel
Jan Neuharth
RITTA MCLAUGHLIN
Susan Seligson
Jassy James
Carol L. Flinders
Cheri Register
Halcyon Backhouse
Fox Butterfield
Brenda Harlen
Sue Halpern
Thomas F. Crum
Michael Adamse
"Robert J., Ph.D. Sternberg"
Benjamin Woolley
Madge Harrah
Valentin Billotte
Koen Vergeer
Sheila O'flanagan
Marian Murphy
Barry Cummins
Karen Brady
Patrick Scanlan
Domenjoz
Christopher Hilton
Murray Walker
Dave Crowe
Emma Richmond ... [et al.]
Deborah Wright
Kathy Rodgers
Paul Howard
Kay Stephens
Shirley Parenteau
Alex Abella
"Tom, Murphy"
L. Eiseley
Joseph Albright
Pat Choate
Juanita Purcell
Kristen Robinette
Jessica Matthews
Lena Sturges
Kim Kjelgaard
Anita Doreen Diggs
Karen T. Whittenburg
Michael Munro
John Myer
Colin Baxter
JOHN HAWKESWORTH
Pamela Norris
Corry
Suzy Gershman
Gregory C. Aaron
James MacKay
Margaret Fairlie
Martha Shirk
Tom Morgan
Norton Parker
Alex Stuart
Haywood Gould
Judy Finchler
J. D. Zahniser
Aryasura
William J. Busha
Geri Halliwell
Pat Parker
Daniel Gottlieb
Gurumayi Chidvilasananda
Rudolph Giuliani
Cynthia F. Roberts
Richard N Bolles
Dawn Cairns
Nina R. Lief
Keats
Abraham J. Twerski
Evelyn Lau
Robert Lee Scott
Jerry Yulsman
VALERIE STEIKER
Brian Ward
Marcia M. Kelly
Rod Beckstrom
Monica Martin
B. Joseph Pine
Tony Levy
Robert Tisserand
Shirley Price
Josiah Bunting
Milton R. Friedberg
G. K. Guennel
Robert W. McKay
Ernest A. Wallis Budge
Ludwig van Beethoven
Marty Westfall
Geza Vermes
Harry M. Orlinsky
Giorgio Panini
Colin C. Tipping
K.J. Kenafick
Yann Arthus-bertrand
Sam Jordison
Husian
Nick Middleton
Maurice Tuchman
L. Svensson
Jean Ball
Greg Friedler
Steve Parish
Shawn Phillips
Kathryn Edgar
Tony Daffern
Jonathan Waterman
NATHANIEL BRANDEN
John Harlin
Richard Else
"Bryan E., Phd Robinson"
Raymond Floyd
Bishop Schuyler
E. C. Sheedy
ROBERT GREENFIELD
Norah Vincent
CHRISTINA BALDWIN
William Voltz
Marlis Day
Jacques-Etienne Bovard
Steven R. Schirripa
JOAN BODGER
Maggie de Vries
Rosemary Enright
Elizabeth Anderson
Nancy Cartwright
Guillermo van Wielink
Lynne Kaufman
Ron Ely
Geoffrey Norman
Lynda Rosen Obst
Christopher Vogler
J.R. Ripley
Nora Deloach
Heather Cullman
Richard  Cahan
Stephen T. Butterfield
KITTY NASH
Miranda Leigh
Jodi Lynn
Kate Rothwell
Anne Robins
Nora Charles
Glenville Lovell
Elizabeth Chaplin
Violet Starre
Laurie Sue Brockway
Sarah Dening
Eileen Ramsay
Kate Wheeler
Maryann Meyers
Theordor Fontane
Nicholas P Hasluck
Nicholas Kilmer
Dr. Lynn Anderson
Tess Collins
Mary Ann Brussat
Simon Wood
Vinnie Hansen
Chris Boucher
Katharine Marlowe
Julie Edelson
Jack Bludis
Vicki Lawrence
Austin Davis
Phillip DePoy
Jon P. Bloch
Kent C. Gilmore
Thomas Strittmatter
P. F. Chisholm
GÃ?Â¼nter Stein
Vivienne Wayman
Gallagher Gray
Statistics Canada
Nancy DeMoss
Mercedes Bailey
C. Edward Gilpatric
Britta GroiÃ?Â?
Fred T. Morgan
RON FAUST
Michael T. Smith
Lionel Black
Sophia Nash
Adel S. Sedra
Erwin  Kreyszig
Wendy Wax
Graeme Arbuckle
Jon Guttman
Donald Lynch
Natalie Stenzel
Kenneth D. Alford
Herbert A. Werner
Mary Pierce
Emily Elizabeth Cran
George Fletcher Bass
John Pimlott
Young
Inc. Catapult
Thomas Bayley
Maximillian E. Novak
Arnold Geier
J. Rogozinski
Donald A. Petrie
Robert L. Dallison
C. Thomas Olivo
Cecil H. Jensen
Dale Ewen
Andrew Williams
David W. Shaw
Richard Breitman
Dave Horner
Leonard F. Guttridge
A. A. Hoehling
Geoffrey Bennett
Donald Macintyre
Scott Martin
Michael J. Neufeld
Penny Colvin
William A. Owens
Caine Hamilton
Roger Sarty
Bathroom Reader Institute
Alan Hirsch M.D.
Berk
Paul H H Snyder
Bicycling and Mountain Bike Magazine
Alan P. Brauer
Richard Maran
Harry L. Phillips
Roy Ageloff
Inc Catapult
T. Barters-Devries
Bonnie Stern
Rusel Demaria
Joanne Meyer
Fred T. Jane
Marc Milner
Yves Lavigne
Mike Wrenn
Rosemary Guiley
Sue Johanson
Iris Finz
Marianne MacY
John Marchese
John Biguenet
Michael Briggs
Hans Dossenbach
Fred Woodward
Brian Inness
Patrick Ruell
Diane Larose-Weaver
Catherine Barry
Linda Granfield
Sue McKay
Gary Clarke
Stephen Rider
Kathleen Delaney
Michael D'Orso
Herman Holtz
Kevin Ammons
Robert Parsons
Ronald Spector
Kevin R. Shackleton
Linda Peavy
David Mearns
Ian Heath
Takis Lakovou
Jackie Robb
Rosemary Heim
Alan Cohen
Virginia Farmer
Anne Stockwell
Judith Cummings
Geraldo Rivera
Vivien Fiske Wake
John R. Brinkerhoff
Lisbeth B. Schorr
Steven Voien
Lucian Truscott
Candice Proctor
Mary Sheldon
Hal Glatzer
Mark Hertsgaard
Joanna Novins
Jake Lamar
Robert Anthony
James Mapes
Steven Bratman
Charles J. Givens
George E. Vaillant
Stephen Potts
Catherine Dain
Abensur
Leigh Roberts
Max Davidson
W.G. Sebald
Mindy Starns Clark
Henry Blyth
Julie Hope
Candida McWilliam
Alexander Baron
George Blake
Frank Partnoy
Cora Sandel
Benzie
Maureen Stone
Sarah Hall
Trevor Shearston
Leonard Pitt
Norman M. Klein
Deborah Schneider
Steve Harvey
Merry Ovnick
Peter Theroux
Kevin Starr
David Fine
Adah Bakalinsky
Frank Thompson
Richard L. Senate
Lionel Rolfe
Becky Lee Weyrich
Juan Ramon Jiminez
Keith Abbott
Shirley Larson
ALEX BARKER
Josefina R. Aldecoa
William O. Douglas
Rosemary Stevens
Clarence Meyer
Jorge Edwards
Christopher Wilkins
Oates Carol
Jerry Hulse
Highlights Editors
John Roach
Merce Rodoreda
R. K. DHAWAN
Dennis R. Gagnon
Beth Venn
Ted Goertzel
Elaine Scott
Anita Nelson
Alyce Bergey
Debora Pearson
ALLISON GLOCK
Pierre Jean Cousin
Ron Strickland
Southern Living Editor
Bonnie Pega
Jools Holland
Virginia Parsons
Richard Duerrstein
Jud Hurd
International Publications
B. Specter
R.P. Moore
Frank O'Rourke
Joyce McDonald
Paul Clarke
Mary Major
Carolyn Cain
Marcia King-Gamble
H.P. Lovercraft
Steven Zumdahl
Robert E. Iannini
Michael A. Pastore
Scott Mueller
Bill Dyszel
Gary S. Thorpe
Roberta Meyer
Robin Henig
Gwyneth Atlee
David Hendin
NORMAN J. FORTIER
Jack Dickson
Michael Parker Pearson
Giampaolo Fallai
NICHOLAS VON HOFFMAN
Charles Casillo
Rosemary Verey
Dina Fayer
Heidi Holder
William Matthews
Henry M Levy
Paige Braddock
Chris Hunt
Peter F. Neumeyer
Bill Kelly
Mel Keegan
Edward O. Phillips
David Bergman
JOHN MORGAN WILSON
Richard Greenberg
Lee H. Whittlesey
Ilya Zbarsky
Helen Hoke
Christie Mellor
John Shannon
TONY PERROTTET
R. M. Vaughan
Peter Loughran
Roma Felible
CHRISTINE KLING
Lela Nargi
Erik Brown
Chris Kent
Eric Lindros
Scott Robert Alexander
Wanda Gag
Eve K. Sandstrom
Joseph Schreiber
Kathy Seward MacKay
Sheila Darragh
Jai Sen
Cris Evatt
Buck Peterson
Billeh Nickerson
"Davina, Ph.D. Kotulski"
Muriel L. Feelings
Louise Tate King
Trebor Healey
Adam Phillips
Richard Young
Thomas Cowan
Alice Rigan
Susan Ishige
Nigel Browning
Christina Cordaire
Dave Meurer
Craig Chester
Claude Francis
Brian Dubois
Rebecca Paisley
Gahan Wilson
Maxime De LA Falaise
Vittorio Lingiardi
Ivan Hodge
Tom Long
Dorien Grey
Peter Spier
Bobbie Combs
Phillip Scott
Elizabeth Ryan
DAVID DAY
Beverly Coyle
Joni Miller
Josh Thomas
Helen Brody
C. Northcote Parkinson
Stephen Schecter
Jon Jeffrey
Maggy Halliday
Willem Lange
Michael Hague
Anne Taintor
Judith Adler
Connie Leas
Dede Wilson
Matthew Stadler
Tony Fennelly
Joan Powers
Libby Phillips Meggs
Guy L. Jr. Steele
Joel Perry
Charles J. Jordan
Randy Sue Coburn
Ray Montgomery
Andrew Calimach
Charles L. McNichols
Mark Rein-Hagen
Sally Laity
T.R. Witomski
Rochelle H. Schwab
Thomas S.  Roche
Virginia M. Friedman
Ann Dukthas
Gregory Arthur Baer
Charlene C. Giannetti
Roger M. Knutson
Martin Rowson
Marie Harris
T. H. Lain
Eric Clark
Karen Drogin
William L. Masterton
James Asal
Patrick Merla
Stephen Puleo
Ralph A. Lewin
Roy Wandelmaier
Scott Allie
Karl Wurf
Peter Wells
Margaret Spurling
Bill Scheft
Judith Byron Schachner
Carol Gregor
Nancy Armstrong
Miles Tripp
Karl Wagner
Frankie Frankeny
Mike Smith
Joe LeSueur
Todd Brown
Fred Thompson
Michael Ulmer
Alvin Orloff
Mary Campisi
Stephen Coote
Jimmy McGovern
Scott Heim
Sean Hanlon
Brian Lamb
Carole Kismaric
Clarence Paget
Coleman Dowell
Cedric Mims
Bakerman
Christopher Street Magazine
Ben Sill
Mario Martinez
Ken Fitch
Patrick E. Horrigan
Jeffrey N. McMahan
Charles Wysocki
Zakaria Erzinclioglu
Rosemary Hawthorne
Ruth S. Knowles
Jane Caminos
Morgan Robertson
Edmond Pearson
Nicholas Howe
H. Kubasch
Felice Benuzzi
Carol Birch
Guido Majno
Florence Stevenson
Doug Wilhelm
Lea DeLaria
Timothy James Beck
Manly Wellman
Mary Gladys Meredith Webb
Kathryn Reines
David Abrahamsen
Leon Stein
Barbara Sheridan
Drew Gummerson
Coral S. Saxe
Natasha Tarpley
Dean Riddle
David Proctor
Janet Langlois
Rose Williams
Jeanette Beer
Gretchen Worden
Stanley Williams
Pat Fairon
Peter Bloxsom
Jerusha Hull McCormack
Bill Neal
Dana Holyfield
Dan Leone
M. Shayne Bell
Linda Covington
Mark Lerner
Dori Seda
Mark Mitchell
Thelwell Norman
John Tierney
Bill Yenne
Georgeanne Brennan
Martha Yeilding Scribner
Gregory McNamee
Pamela James
Frank Richard Stockton
Fergus Henderson
Herbert Kastle
Martin Parr
David Earl Worth
Phil Foglio
Greer Lawrence
Elan Fleisher
Randall Jarrell
Jacqueline Fearn
H. Andrew Swinburne
Ann Victoria Roberts
Nancilee  Wydra
Robert R. Provine
Louis Allen
Rev. R. Heber Gooden
Norman Thelwell
Laura Argiri
Duane Simolke
Fredric Brown
Batton Lash
Kenneth E Read
Robert Harbison
Brooke McEldowney
Howard Moss
Edwatd Lucie~Smith
Jacqueline Damian
Mary Loberg Walley
Christine De Pisan
Eric Gurney
Anne Ross
T. Lain
Betty Jo Tucker
Gerard Donelan
Joanne Asala
John Demos
"Douglas, Dr. Ubelaker"
NICOLE MONES
Stanley M.D. Burns
Leila Hadley
Catherine Derevitzky
Jr. Bill Adler
Matthew Bourne
Terence Whitaker
Darren Greer
Barbara Ninde Byfield
Bill Sherwonit
Kenneth V. Iserson
Dorothy Middleton
Claire Morgan
Vicki MacKenzie
Vincent Virga
Tim Hemlin
Michael A. Dymmoch
Jan Struther
Heather Tyler
Sven Lindqvist
Elissa Haden Guest
Jessica Evans
M.R. Henderson
Kuthumi
Alicia Meadowes
